song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
That Christmas Feeling (Reprise),https://phineasandferb.fandom.com/wiki/That_Christmas_Feeling_(Reprise),Phineas and Ferb Christmas Vacation!,Pop,0:11,8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
We Wish You A Merry Christmas (Carolers' Version),https://phineasandferb.fandom.com/wiki/We_Wish_You_A_Merry_Christmas_(Carolers%27_Version),Phineas and Ferb Christmas Vacation!,Holiday,NA,8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
Where Did We Go Wrong?,https://phineasandferb.fandom.com/wiki/Where_Did_We_Go_Wrong%3F,Atlantis,"Folk blues, folk rock, soft rock, swamp blues",1:121:24 (Album),7.9,187,NA,Jennifer KeeneKim RobersonKaz,Zac Moncrief,2010-01-15,219b,"During a trip to the beach, Phineas, Ferb, Isabella, Buford, Baljeet and Irving try to find the lost city of Atlantis which is located in the bottom of the ocean. Then Candace and Linda enter a sandcastle building contest when Candace found out that Jeremy is the judge. Meanwhile, Doofenshmirtz creates an army of plants."
Danville for Niceness,https://phineasandferb.fandom.com/wiki/Danville_for_Niceness,Phineas and Ferb Christmas Vacation!,Pop,0:37 (episode version)1:01 (soundtrack version),8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
Christmas Cannot Be Destroyed Not Even by a Naughty-Inator,https://phineasandferb.fandom.com/wiki/Christmas_Cannot_Be_Destroyed_Not_Even_by_a_Naughty-Inator,Phineas and Ferb Christmas Vacation!,Holiday,NA,8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
Christmas is Starting Now,https://phineasandferb.fandom.com/wiki/Christmas_is_Starting_Now,Phineas and Ferb Christmas Vacation!,"Swing, Holiday",0:55 (episode) 2:42 (album),8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
Thank You Santa,https://phineasandferb.fandom.com/wiki/Thank_You_Santa,Phineas and Ferb Christmas Vacation!,Blues/holiday,1:28 (episode)  2:06 (album),8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
What Does He Want?,https://phineasandferb.fandom.com/wiki/What_Does_He_Want%3F,Phineas and Ferb Christmas Vacation!,Doo-Wop,1:01,8.7,277,NA,Jon Colton BarryScott PetersonPiero Piluso,Zac Moncrief,2009-12-11,222,"Phineas and Ferb turn the city of Danville into a giant thank you card for Santa Claus because they feel nobody ever thanks him for all the joy he brings to the world. Doofenshmirtz uses a device called the ""Naughty-inator"" to put the city of Danville on Santa's naughty list.Guest voice: Clancy Brown as Santa Claus, Mat Horne as Blay'n, Bruce Mackinnon as Clewn't, Benita Scheckel as Becky, Ariel Winter as Wendy Stinglehopper"
Just Passing Through,https://phineasandferb.fandom.com/wiki/Just_Passing_Through_(song),S'Winter,Blues Rock,1:11,8,302,11,"Bobby GaylorJeff ""Swampy"" MarshMartin OlsonDan PovenmireAntoine GuilbaudSherm Cohen",Dan Povenmire,2008-02-09,103b,"Phineas and Ferb use a snow-cone machine to create S'winter. Meanwhile, Dr. Doofenshmirtz plans to melt all the chocolate in the Tri-State Area with his Melt-inator 65000."
Wedding Adventure,https://phineasandferb.fandom.com/wiki/Wedding_Adventure,Atlantis,"Pop, Punk, Skate punk, Alternative Rock",1:12,7.9,187,NA,Jennifer KeeneKim RobersonKaz,Zac Moncrief,2010-01-15,219b,"During a trip to the beach, Phineas, Ferb, Isabella, Buford, Baljeet and Irving try to find the lost city of Atlantis which is located in the bottom of the ocean. Then Candace and Linda enter a sandcastle building contest when Candace found out that Jeremy is the judge. Meanwhile, Doofenshmirtz creates an army of plants."
Bubble Gum,https://phineasandferb.fandom.com/wiki/Bubble_Gum,I Was a Middle Aged Robot,Pop,0:05,NA,NA,NA,Martin OlsonSherm CohenChong Lee,Zac Moncrief,2010-02-26,221a,"Candace is determined to win this year's father-daughter obstacle course but unfortunately, Lawrence finds Agent P's lair and his memory is accidentally erased by a memory-eraser gadget. Luckily, Carl had already made Flynn-Fletcher Family Robots for emergency situations. So Agent P operates a Lawrence robot to fill in during the race as Phineas and Ferb provide commentary from their broadcast blimp. Meanwhile, Dr. Doofenshmirtz invents ""eulg,"" a solution that works the opposite of glue and takes everything apart."
Tuff Gum,https://phineasandferb.fandom.com/wiki/Tuff_Gum,Suddenly Suzy,NA,0:17,7.9,171,NA,Martin OlsonMay ChanAliki Theofilopoulos GrafftAntoine Guilbaud,Jay LenderRobert F. Hughes,2010-02-26,221b,"Candace panics when she inadvertently agrees to babysit Jeremy's little sister Suzy but to her surprise, Suzy is docile in the absence of her brother, saying that when Jeremy isn't around, she's ""off the clock."" The two of them bond and Suzy shows Candace how to get Phineas and Ferb to bust themselves. Meanwhile, the boys build a replica of Niagara Falls in their backyard with the intention of riding over the falls in a barrel. Back at Doofenshmirtz Evil Inc., Dr. Doofenshmirtz decides to increase his carbon footprint, (though he doesn't know what that is), by inventing a Carbon Footprint-inator."
Alabama Bound,https://phineasandferb.fandom.com/wiki/Alabama_Bound,Suddenly Suzy,Southern Country,0:42,7.9,171,NA,Martin OlsonMay ChanAliki Theofilopoulos GrafftAntoine Guilbaud,Jay LenderRobert F. Hughes,2010-02-26,221b,"Candace panics when she inadvertently agrees to babysit Jeremy's little sister Suzy but to her surprise, Suzy is docile in the absence of her brother, saying that when Jeremy isn't around, she's ""off the clock."" The two of them bond and Suzy shows Candace how to get Phineas and Ferb to bust themselves. Meanwhile, the boys build a replica of Niagara Falls in their backyard with the intention of riding over the falls in a barrel. Back at Doofenshmirtz Evil Inc., Dr. Doofenshmirtz decides to increase his carbon footprint, (though he doesn't know what that is), by inventing a Carbon Footprint-inator."
"Carl, Incognito","https://phineasandferb.fandom.com/wiki/Carl,_Incognito",Undercover Carl,Hard rock,0:25,7.9,163,NA,May ChanMartin OlsonChong Suk LeeSherm Cohen,Zac Moncrief,2010-03-05,223a,"Phineas and Ferb create a device to reverse the effects of gravity. Meanwhile, Agent P is literally sent on a wild goose chase when Major Monogram believes the boys are actually out to destroy the Tri-State Area. Elsewhere, Doofenshmirtz finds the blueprints to the anti-gravity machine and takes them for his own purpose."
When You Levitate,https://phineasandferb.fandom.com/wiki/When_You_Levitate,Undercover Carl,"Funk, Funk Rock, Soul",1:00,7.9,163,NA,May ChanMartin OlsonChong Suk LeeSherm Cohen,Zac Moncrief,2010-03-05,223a,"Phineas and Ferb create a device to reverse the effects of gravity. Meanwhile, Agent P is literally sent on a wild goose chase when Major Monogram believes the boys are actually out to destroy the Tri-State Area. Elsewhere, Doofenshmirtz finds the blueprints to the anti-gravity machine and takes them for his own purpose."
Tri-State Area Unification Day,https://phineasandferb.fandom.com/wiki/Tri-State_Area_Unification_Day,Just Passing Through,Hard rock,0:46,7.8,173,NA,Martin OlsonEdgar KarapetyanKim Roberson,Zac Moncrief,2010-02-12,224a,"Phineas and Ferb create an orb that allows them to pass through solid objects and to ultimately, help them retrieve Mom's favorite guitar pick for her gig at the Mayor's Day Festival. Candace sees their orb as the perfect way to bust them and brings it to Mom, but en route to the festival, the troublesome Wilkins Brothers put a kink in her plans. Meanwhile, Dr. Doofenshmirtz attempts to destroy a statue erected in his brother Roger's honor."
You're Not Ferb,https://phineasandferb.fandom.com/wiki/You%27re_Not_Ferb,Ain't No Kiddie Ride,"Garage rock, New Wave, alternative rock",1:03,8.2,171,NA,Jennifer KeeneMartin OlsonSherm CohenChong Lee,Zac Moncrief,2010-04-16,225b,"Phineas and Ferb decide to trick out the kiddie rides in front of the Tri-State Mart. Determined to bust them, Candace sits in a rocket ride so it can't go anywhere until Mom shows up. Needless to say, the ride shoots off and Candace ends up on a high-flying rocket across Danville. Meanwhile, Dr. Doofenshmirtz plans to leave behind a legacy by burning his name into the atmosphere using his ""ozone deplete-inator."""
So Busted,https://phineasandferb.fandom.com/wiki/So_Busted,Invasion of the Ferb Snatchers,NA,NA,8.2,171,NA,Jennifer KeeneMartin OlsonJ.G. OrrantiaPerry Zombolas,Zac Moncrief,2010-04-16,225a,"After an all night science-fiction movie marathon, Candace is convinced that Ferb is an alien and gathers evidence to prove it. The boys admit that they are doing something for an alien but that Ferb is not one. Her relief turns to excitement and then to frustration when her plan to bust her brothers is compromised by the alien disguised as Mom. Meanwhile, Dr. Doofenshmirtz is trying to sell an evil ""-inator"" under the guise of it being a cleaning device."
Ain't No Kiddie Ride,https://phineasandferb.fandom.com/wiki/Ain%27t_No_Kiddie_Ride_(song),Ain't No Kiddie Ride,Rock,1:04,8.2,171,NA,Jennifer KeeneMartin OlsonSherm CohenChong Lee,Zac Moncrief,2010-04-16,225b,"Phineas and Ferb decide to trick out the kiddie rides in front of the Tri-State Mart. Determined to bust them, Candace sits in a rocket ride so it can't go anywhere until Mom shows up. Needless to say, the ride shoots off and Candace ends up on a high-flying rocket across Danville. Meanwhile, Dr. Doofenshmirtz plans to leave behind a legacy by burning his name into the atmosphere using his ""ozone deplete-inator."""
Space Adventure,https://phineasandferb.fandom.com/wiki/Space_Adventure_(song),Ain't No Kiddie Ride,NA,0:05,8.2,171,NA,Jennifer KeeneMartin OlsonSherm CohenChong Lee,Zac Moncrief,2010-04-16,225b,"Phineas and Ferb decide to trick out the kiddie rides in front of the Tri-State Mart. Determined to bust them, Candace sits in a rocket ride so it can't go anywhere until Mom shows up. Needless to say, the ride shoots off and Candace ends up on a high-flying rocket across Danville. Meanwhile, Dr. Doofenshmirtz plans to leave behind a legacy by burning his name into the atmosphere using his ""ozone deplete-inator."""
Busted Dance,https://phineasandferb.fandom.com/wiki/Busted_Dance,Phineas and Ferb-Busters!,Pop,NA,NA,NA,NA,Scott PetersonAliki Theofilopoulos GrafftAntoine Guilbaud,Jay Lender,2010-05-14,228b,"Candace enlists her friends Stacy and Jenny to help her bust her brothers, so they run trial busting events in the backyard to prep for the real thing. Meanwhile, Phineas and Ferb create an unlimited power supply to propel a group of cyclone-like vehicles known as ""Spinning Tops of Doom."" Over at Doofenshmirtz Evil Inc., a new replacement robot for Norm has been called into action but when struck by the surge of power going through Danville, the robot turns on Dr. Doofenshmirtz and makes him the target."
Bust Your Brothers,https://phineasandferb.fandom.com/wiki/Bust_Your_Brothers,Phineas and Ferb-Busters!,Hard Rock,0:34  1:04 (demo version),NA,NA,NA,Scott PetersonAliki Theofilopoulos GrafftAntoine Guilbaud,Jay Lender,2010-05-14,228b,"Candace enlists her friends Stacy and Jenny to help her bust her brothers, so they run trial busting events in the backyard to prep for the real thing. Meanwhile, Phineas and Ferb create an unlimited power supply to propel a group of cyclone-like vehicles known as ""Spinning Tops of Doom."" Over at Doofenshmirtz Evil Inc., a new replacement robot for Norm has been called into action but when struck by the surge of power going through Danville, the robot turns on Dr. Doofenshmirtz and makes him the target."
Robot Rodeo,https://phineasandferb.fandom.com/wiki/Robot_Rodeo_(song),Robot Rodeo,Techno Electro,0:50,7.9,156,NA,May ChanKazJ.G. Orrantia,Jay Lender,2010-06-11,229b,Phineas and Ferb build a robotic rodeo in the backyard. Candace tries to prove she can focus so she can go to a concert with Stacy. Doofenshmirtz stalls to finish his entry into the Inator Creator competition.
Izzy's Got the Frizzies,https://phineasandferb.fandom.com/wiki/Izzy%27s_Got_the_Frizzies,Robot Rodeo,"Funk, soul",0:32,7.9,156,NA,May ChanKazJ.G. Orrantia,Jay Lender,2010-06-11,229b,Phineas and Ferb build a robotic rodeo in the backyard. Candace tries to prove she can focus so she can go to a concert with Stacy. Doofenshmirtz stalls to finish his entry into the Inator Creator competition.
Yippy Ki Yi Yay!,https://phineasandferb.fandom.com/wiki/Yippy_Ki_Yi_Yay!,Robot Rodeo,Skate punk,0:48,7.9,156,NA,May ChanKazJ.G. Orrantia,Jay Lender,2010-06-11,229b,Phineas and Ferb build a robotic rodeo in the backyard. Candace tries to prove she can focus so she can go to a concert with Stacy. Doofenshmirtz stalls to finish his entry into the Inator Creator competition.
The Beak,https://phineasandferb.fandom.com/wiki/The_Beak_(song),The Beak,60's Superhero Theme,0:43,8.6,228,NA,Scott PetersonJon Colton BarryPiero Piluso,"Jeff ""Swampy"" Marsh""Assistant Director:""Jay Lender",2010-03-12,227,"Khaka Peü Peü arrives in Danville to challenge Phineas and Ferb after the boys are mistaken as a superhero (while wearing an indestructible suit they designed to safely conquer their newly built extreme skate-track) known as The Beak. With the super villain wreaking havoc, it's up to Phineas and Ferb to thwart him while Dr. Doofenshmirtz tells the people of the Tri-State area that he is in charge, in hopes that they will actually just go along with it. Meanwhile, his brother Roger is worried that everyone will blame him for the recent super villain catastrophe so he decides to make Doofenshmirtz Mayor."
Pioneer Quirky,https://phineasandferb.fandom.com/wiki/Quirky_Worky_Song,The Mom Attractor,"Scat, pop, gypsy jazz",1:17 (Album),8,134,NA,Martin OlsonAliki Theofilopoulos GrafftJ.G. Orrantia,Robert F. Hughes,2012-05-04,328a,"When the boys ask Candace to decide what they should do for the day, she slyly asks them to invent a device to attract their Mom so that she can finally bust her brothers. Meanwhile, Dr. Doofenshmirtz has invented a ""Baby-Cry-Inator"" designed to tarnish his goodie-two-shoes brother's image with the electorate."
Ordinary Day,https://phineasandferb.fandom.com/wiki/Ordinary_Day,She's the Mayor,"Power pop, pop rock",0:34,8.1,162,NA,Jennifer KeeneMartin OlsonMichael DiederichPerry Zombolas,Zac Moncrief,2010-07-30,231a,"Candace is awarded the opportunity to be mayor for the day, so she uses her new status to create laws that can assist her with busting her brothers. Back at home, Phineas and Ferb build an authentic log cabin and a pioneer village. Meanwhile, Dr. Doofenshmirtz is scheduled to play golf with his brother, but since he hates the game, he creates the Accelerate-inator to speed things along. However, he is unaware that his invention also has the ability to open up holes to other dimensions."
You're My Better Best Friend,https://phineasandferb.fandom.com/wiki/You%27re_My_Better_Best_Friend,The Beak,"Doo-wop, blue-eyed soul",0:49,8.6,228,NA,Scott PetersonJon Colton BarryPiero Piluso,"Jeff ""Swampy"" Marsh""Assistant Director:""Jay Lender",2010-03-12,227,"Khaka Peü Peü arrives in Danville to challenge Phineas and Ferb after the boys are mistaken as a superhero (while wearing an indestructible suit they designed to safely conquer their newly built extreme skate-track) known as The Beak. With the super villain wreaking havoc, it's up to Phineas and Ferb to thwart him while Dr. Doofenshmirtz tells the people of the Tri-State area that he is in charge, in hopes that they will actually just go along with it. Meanwhile, his brother Roger is worried that everyone will blame him for the recent super villain catastrophe so he decides to make Doofenshmirtz Mayor."
Prime Calypso,https://phineasandferb.fandom.com/wiki/Prime_Calypso,Phineas and Ferb Hawaiian Vacation,"Calypso, Show Tune",0:53,8.4,171,NA,Jennifer KeeneMay ChanKazKim RobersonMichael DiederichPerry Zombolas,Zac Moncrief,2010-07-09,234,"During a Hawaiian family vacation, Candace finds a cool lava rock necklace and is plagued with bad luck, so a native tells her she must take it to the top of a volcano, which spoils the cool, calm vibe she learned from a Hawaiian yoga instructor. Phineas and Ferb go with Candace and along the way, they ride a few waves with pro surfer Laird Hamilton. Meanwhile, Dr. Doofenshmirtz is also at the same volcano, trying to make the population less intelligent with his ""De-Evolution-Inator.""Guest voice: Phill Lewis as Hotel Manager, Laird Hamilton as Himself, and Allie MacKay as Yoga Instructor"
Bad Luck,https://phineasandferb.fandom.com/wiki/Bad_Luck,Phineas and Ferb Hawaiian Vacation,"Surf pop, pop rock",0:48,8.4,171,NA,Jennifer KeeneMay ChanKazKim RobersonMichael DiederichPerry Zombolas,Zac Moncrief,2010-07-09,234,"During a Hawaiian family vacation, Candace finds a cool lava rock necklace and is plagued with bad luck, so a native tells her she must take it to the top of a volcano, which spoils the cool, calm vibe she learned from a Hawaiian yoga instructor. Phineas and Ferb go with Candace and along the way, they ride a few waves with pro surfer Laird Hamilton. Meanwhile, Dr. Doofenshmirtz is also at the same volcano, trying to make the population less intelligent with his ""De-Evolution-Inator.""Guest voice: Phill Lewis as Hotel Manager, Laird Hamilton as Himself, and Allie MacKay as Yoga Instructor"
Agent W Theme,https://phineasandferb.fandom.com/wiki/Agent_W_Theme,Phineas and Ferb Hawaiian Vacation,Jazz,00:05,8.4,171,NA,Jennifer KeeneMay ChanKazKim RobersonMichael DiederichPerry Zombolas,Zac Moncrief,2010-07-09,234,"During a Hawaiian family vacation, Candace finds a cool lava rock necklace and is plagued with bad luck, so a native tells her she must take it to the top of a volcano, which spoils the cool, calm vibe she learned from a Hawaiian yoga instructor. Phineas and Ferb go with Candace and along the way, they ride a few waves with pro surfer Laird Hamilton. Meanwhile, Dr. Doofenshmirtz is also at the same volcano, trying to make the population less intelligent with his ""De-Evolution-Inator.""Guest voice: Phill Lewis as Hotel Manager, Laird Hamilton as Himself, and Allie MacKay as Yoga Instructor"
Doof 'N' Puss,https://phineasandferb.fandom.com/wiki/Doof_%27N%27_Puss_(song),Nerds of a Feather,Jingle,0:03,8.2,203,NA,Jon Colton BarryPiero Piluso,Jay Lender,2010-08-27,233,"Phineas and Ferb head to the Tri-State Area's annual sci-fi and fantasy convention to meet their hero, special effects guru Clive Addison. Their plan gets sidetracked when they're swept into a duel between the fantasy fans and the sci-fi geeks. Meanwhile, Candace tries to keep secret that she's a fan of Ducky MoMo, another convention staple. Across the convention hall, Dr. Doofenshmirtz has taken television executive Jeff McGarland hostage so he can pitch him a show he's developed, ""Doof 'n' Puss.""Guest voice: Kevin Smith as Clive Addison and Seth MacFarlane as TV Executive (Jeff McGarland)"
Ducky Momo is My Friend,https://phineasandferb.fandom.com/wiki/Ducky_Momo_is_My_Friend,Nerds of a Feather,Pop ballad,1:08,8.2,203,NA,Jon Colton BarryPiero Piluso,Jay Lender,2010-08-27,233,"Phineas and Ferb head to the Tri-State Area's annual sci-fi and fantasy convention to meet their hero, special effects guru Clive Addison. Their plan gets sidetracked when they're swept into a duel between the fantasy fans and the sci-fi geeks. Meanwhile, Candace tries to keep secret that she's a fan of Ducky MoMo, another convention staple. Across the convention hall, Dr. Doofenshmirtz has taken television executive Jeff McGarland hostage so he can pitch him a show he's developed, ""Doof 'n' Puss.""Guest voice: Kevin Smith as Clive Addison and Seth MacFarlane as TV Executive (Jeff McGarland)"
Glorf,https://phineasandferb.fandom.com/wiki/Glorf,Nerds of a Feather,Jingle,00:02,8.2,203,NA,Jon Colton BarryPiero Piluso,Jay Lender,2010-08-27,233,"Phineas and Ferb head to the Tri-State Area's annual sci-fi and fantasy convention to meet their hero, special effects guru Clive Addison. Their plan gets sidetracked when they're swept into a duel between the fantasy fans and the sci-fi geeks. Meanwhile, Candace tries to keep secret that she's a fan of Ducky MoMo, another convention staple. Across the convention hall, Dr. Doofenshmirtz has taken television executive Jeff McGarland hostage so he can pitch him a show he's developed, ""Doof 'n' Puss.""Guest voice: Kevin Smith as Clive Addison and Seth MacFarlane as TV Executive (Jeff McGarland)"
To War,https://phineasandferb.fandom.com/wiki/To_War,Atlantis,March,1:03,7.9,187,NA,Jennifer KeeneKim RobersonKaz,Zac Moncrief,2010-01-15,219b,"During a trip to the beach, Phineas, Ferb, Isabella, Buford, Baljeet and Irving try to find the lost city of Atlantis which is located in the bottom of the ocean. Then Candace and Linda enter a sandcastle building contest when Candace found out that Jeremy is the judge. Meanwhile, Doofenshmirtz creates an army of plants."
Ducky Momo Theme Song,https://phineasandferb.fandom.com/wiki/Ducky_Momo_Theme_Song,"Run, Candace, Run",Soundtrack,0:30,8,195,NA,Sergio ArmendarizJon Colton BarryJennifer KeeneMartin OlsonMichael DiederichAntoine GuilbaudKyle MenkePerry Zombolas,Jay Lender,2011-03-11,301a,"Phineas and Ferb's newest invention is a pair of boots that make the wearer extraordinarily fast. Candace decides to wear them so that she can be in two places at once; at Jeremy's family picnic, where she runs into Mrs. Johnson, and also at the library where she promised Mom she would read to the kids. Meanwhile, Dr. Doofenshmirtz's building is put up for sale so he tries to convince a prospective buyer, Annabelle, who turns out to be a long lost relative of the Johnson family, that it is not worth buying."
Yellow Sidewalk,https://phineasandferb.fandom.com/wiki/Yellow_Sidewalk,Wizard of Odd,"Teen pop, sunshine pop",1:12,8.5,213,NA,Scott PetersonMichael DiederichKaz,Jay LenderRobert F. Hughes,2010-09-24,226,"In order to wash their house quickly, Phineas and Ferb build a contraption that spins it around, causing Candace to become so dizzy, she collapses. She soon finds herself in the magical land of Odd where their friends Isabella, Dr. Doofenshmirtz, Jeremy, Buford and Baljeet are remarkably like the characters in L. Frank Baum's book ""The Wizard of Oz."" When Candace follows the yellow brick sidewalk to Bustopolis (to find the Wizard who can help her finally bust her brothers), things aren't what they seem."
I Wish I Was Cool,https://phineasandferb.fandom.com/wiki/I_Wish_I_Was_Cool,Wizard of Odd,"Surf Pop, Cabaret",0:27,8.5,213,NA,Scott PetersonMichael DiederichKaz,Jay LenderRobert F. Hughes,2010-09-24,226,"In order to wash their house quickly, Phineas and Ferb build a contraption that spins it around, causing Candace to become so dizzy, she collapses. She soon finds herself in the magical land of Odd where their friends Isabella, Dr. Doofenshmirtz, Jeremy, Buford and Baljeet are remarkably like the characters in L. Frank Baum's book ""The Wizard of Oz."" When Candace follows the yellow brick sidewalk to Bustopolis (to find the Wizard who can help her finally bust her brothers), things aren't what they seem."
Tree Related Wish,https://phineasandferb.fandom.com/wiki/Tree_Related_Wish,Wizard of Odd,Pop,0:43,8.5,213,NA,Scott PetersonMichael DiederichKaz,Jay LenderRobert F. Hughes,2010-09-24,226,"In order to wash their house quickly, Phineas and Ferb build a contraption that spins it around, causing Candace to become so dizzy, she collapses. She soon finds herself in the magical land of Odd where their friends Isabella, Dr. Doofenshmirtz, Jeremy, Buford and Baljeet are remarkably like the characters in L. Frank Baum's book ""The Wizard of Oz."" When Candace follows the yellow brick sidewalk to Bustopolis (to find the Wizard who can help her finally bust her brothers), things aren't what they seem."
Want Nothing,https://phineasandferb.fandom.com/wiki/Want_Nothing,Rollercoaster,Novelty,0:08 (Episode version) 0:36 (Demo version),8.2,497,1,"Dan PovenmireJeff ""Swampy"" Marsh",Dan Povenmire,2007-08-17,101a,Phineas and Ferb construct a roller coaster from their backyard out to the whole city for themselves and the neighborhood kids. Perry the Platypus attempts to thwart Dr. Doofenshmirtz's evil plan to halt the Earth's rotation.
Guard Song,https://phineasandferb.fandom.com/wiki/Guard_Song,Wizard of Odd,NA,0:23,8.5,213,NA,Scott PetersonMichael DiederichKaz,Jay LenderRobert F. Hughes,2010-09-24,226,"In order to wash their house quickly, Phineas and Ferb build a contraption that spins it around, causing Candace to become so dizzy, she collapses. She soon finds herself in the magical land of Odd where their friends Isabella, Dr. Doofenshmirtz, Jeremy, Buford and Baljeet are remarkably like the characters in L. Frank Baum's book ""The Wizard of Oz."" When Candace follows the yellow brick sidewalk to Bustopolis (to find the Wizard who can help her finally bust her brothers), things aren't what they seem."
Red Rubber Boots,https://phineasandferb.fandom.com/wiki/Red_Rubber_Boots,Wizard of Odd,Show tune,0:21,8.5,213,NA,Scott PetersonMichael DiederichKaz,Jay LenderRobert F. Hughes,2010-09-24,226,"In order to wash their house quickly, Phineas and Ferb build a contraption that spins it around, causing Candace to become so dizzy, she collapses. She soon finds herself in the magical land of Odd where their friends Isabella, Dr. Doofenshmirtz, Jeremy, Buford and Baljeet are remarkably like the characters in L. Frank Baum's book ""The Wizard of Oz."" When Candace follows the yellow brick sidewalk to Bustopolis (to find the Wizard who can help her finally bust her brothers), things aren't what they seem."
Rusted,https://phineasandferb.fandom.com/wiki/Rusted,Wizard of Odd,Pop,0:23,8.5,213,NA,Scott PetersonMichael DiederichKaz,Jay LenderRobert F. Hughes,2010-09-24,226,"In order to wash their house quickly, Phineas and Ferb build a contraption that spins it around, causing Candace to become so dizzy, she collapses. She soon finds herself in the magical land of Odd where their friends Isabella, Dr. Doofenshmirtz, Jeremy, Buford and Baljeet are remarkably like the characters in L. Frank Baum's book ""The Wizard of Oz."" When Candace follows the yellow brick sidewalk to Bustopolis (to find the Wizard who can help her finally bust her brothers), things aren't what they seem."
Not Knowing Where You're Going,https://phineasandferb.fandom.com/wiki/Not_Knowing_Where_You%27re_Going,We Call it Maze,Psychedelic rock,1:13  1:29 (album),NA,NA,NA,Jennifer KeeneBernie PettersonChong Lee,Zac Moncrief,2010-10-01,232a,"Phineas and Ferb create a life sized maze filled with fun obstacles. Melissa, the leader of the Little Sparks, a younger branch of the Fireside Girls, is immediately captivated when she meets Candace and finds out that she was a Fireside Girl who earned 50 patches in one day. When the girls try out the maze, Candace takes charge, but things don't go as planned. Meanwhile, Dr. Doofenshmirtz reasons that if the Leaning Tower of Pisa can generate souvenir revenue, then surely he can use his latest invention, the ""Tilt-inator,"" to tilt buildings so he can sell souvenir replicas.Guest voice: Meira Blinkoff as Melissa"
Alien Heart,https://phineasandferb.fandom.com/wiki/Alien_Heart,"Ladies and Gentlemen, Meet Max Modem!",New Wave,01:37,8.5,200,NA,Scott PetersonJ.G. OrrantiaKaz,Jay Lender,2010-10-01,232b,"When Linda is asked to do a Lindana reunion concert, Lawrence worries that she might be missing the excitement of her old life, so he asks the boys to help turn him into a pop star so that he can perform at the concert and show mom he too is an exciting guy. Across town, Dr. Doofenshmirtz plans a faux alien invasion in order to take over the Tri-State area."
